"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"JPN","Japan","OHI","N","1981","2008","Y",116.1032,1.9,728.6586,0.004755434,0.002726176,0.001801232,0.004867304,0.3210734,630.721,0.1882502,-1,117.648,"JPN_N2008Y",0.0269,0.04684,0.05909,0.06971,0.0808,0.09238,0.1053,0.122,0.1496,0.2474
0,0,"JOR","Jordan","MNA","N","1981","1986.5","X",0.446,1.9,319.5661,0,0,0,0,0.3606143,249.2147,0.2128817,0.3205263,2.461193,"JOR_N1986X",0.03137,0.04135,0.05115,0.06123,0.07211,0.08455,0.09985,0.1209,0.1564,0.2811
0,0,"KAZ","Kazakhstan","ECA","N","1981","1993","Y",83.61162,1.9,208.8113,0.02944562,0.002501668,0.0002852725,0.002713061,0.3266573,176.0512,0.1787839,0.2854004,14.683789,"KAZ_N1993Y",0.03066,0.0442,0.05603,0.06718,0.07845,0.09065,0.105,0.1239,0.1545,0.2494
0,0,"KEN","Kenya","SSA","N","1981","1992","X",35.42959,1.9,170.4476,0.3055549,0.11353,0.05752207,0.1688119,0.5746096,90.64922,0.5970212,-1.140835,16.901677,"KEN_N1992X",0.01243,0.02147,0.02934,0.03785,0.04766,0.0596,0.07521,0.09802,0.1397,0.4787
0,1,"KIR","Kiribati","EAP","N","1981","2006","X",1.065704,1.9,197.0688,0.06596009,0.01576603,0.006052269,0.02063643,0.36973,157.8876,0.2336895,-1,0.060133,"KIR_N2006X",0.02552,0.04041,0.05254,0.06312,0.07391,0.08606,0.1002,0.1188,0.147,0.2925
0,1,"KOR","Korea, Republic of","OHI","N","1981","2006","Y",912.0214,1.9,279.5649,0.02495947,0.008397799,0.004733998,0.01432018,0.3170298,243.2029,0.1827651,-1,38.723248,"KOR_N2006Y",0.0268,0.04628,0.05902,0.07042,0.08142,0.09308,0.107,0.1243,0.1516,0.24
0,1,"KGZ","Kyrgyz Republic","ECA","N","1981","1998","X",17.53792,1.9,298.1687,0.07439829,0.02675609,0.01438634,0.04122231,0.4640201,209.8804,0.3961845,-1,3.6858,"KGZ_N1998X",0.01469,0.02858,0.03911,0.0498,0.06298,0.07859,0.09524,0.1199,0.1582,0.3529
0,0,"LVA","Latvia","ECA","N","1981","1993","Y",0.4031804,1.9,530.3463,0,0,0,0,0.2699313,462.4255,0.1173548,0.2335857,2.519421,"LVA_N1993Y",0.04247,0.05349,0.06329,0.07266,0.08221,0.0926,0.1048,0.121,0.1468,0.2207
0,0,"LSO","Lesotho","SSA","N","1981","1986.54","X",3.864347,1.9,98.50459,0.5202512,0.259133,0.1617923,0.450155,0.5601606,54.81656,0.5836077,0.562795,1.34369,"LSO_N1986X",0.0104,0.01827,0.02702,0.03704,0.04889,0.06359,0.08307,0.1118,0.1642,0.4357
0,1,"LBR","Liberia","SSA","N","1981","2007","X",0.5677298,1.9,244.2197,0.04168336,0.01461801,0.007687304,0.02302901,0.3647774,197.7229,0.2365822,-1,1.957456,"LBR_N2007X",0.02372,0.04126,0.05369,0.06395,0.07521,0.08665,0.1001,0.1205,0.152,0.2829
